Song:,Artist:,Album:,Cover Art:,Release Year:
on one tonight,Gunna,One of Wun,https://cdns-images.dzcdn.net/images/cover/a32e96724b42fba8b1b4f094ba4ffda5/1900x1900-000000-80-0-0.jpg,2024
Jimmy Cooks,Drake,"Honestly,Nevermind","https://ih1.redbubble.net/image.3746970722.1647/raf,750x1000,075,t,triblend_black.jpg",2022
One Dance,Drake,Views,https://upload.wikimedia.org/wikipedia/en/a/af/Drake_-_Views_cover.jpg,2016
Hello,Adele,25,https://upload.wikimedia.org/wikipedia/en/9/96/Adele_-_25_%28Official_Album_Cover%29.png,2015
Glock in my Lap,21 Savage ,Savage Mode II,"https://media.pitchfork.com/photos/5f763ba056ea3d82fbe78589/1:1/w_540,h_540,c_limit/Savage-Mode-2.jpg",2020
Empire state of mind,Jay Z,The Blueprint 3,https://upload.wikimedia.org/wikipedia/en/b/bb/Jay-Z_-_The_Blueprint_3.jpg,2009
It was a Good Day,Ice Cube,The Predator,"https://m.media-amazon.com/images/I/813wOZ4O5UL._UF1000,1000_QL80_.jpg",1992
Not Like Us,Kendrick Lamar,Not Like Us,https://cdns-images.dzcdn.net/images/cover/84345d29bc2ed8e713112425f8417e97/0x1900-000000-80-0-0.jpg,2024
 I'll be Missing You,P. Diddy,No Way Out,https://i1.sndcdn.com/artworks-q1Rgd8hQkaty-0-t500x500.jpg,1997
Puffin on Zootiez,Future,I Never Liked You,https://upload.wikimedia.org/wikipedia/en/7/7e/I_Never_Liked_You_%28Future%29.png,2022